Aéroport Charles de Gaulle 2 TGV;['aéroport terminal 2', 'TGV', 'Roissybus']
Aéroport Charles de Gaulle 1;['aéroport terminaux 1 et 3']
Parc des expositions;[]
Villepinte;[]
Sevran Beaudottes;[]
Aulnay sous Bois;['ligne K', 'tramway T4']
Le Blanc Mesnil;[]
Drancy;[]
Le Bourget;['tramway T11']
La Courneuve Aubervilliers;[]
La Plaine - Stade de France - Saint Denis - Aubervilliers;[]
Paris Nord;['RER D', 'RER E', 'Ligne H', 'Ligne K', 'métro 2', 'métro 4', 'métro 5', 'TGV et TER']
Châtelet - Les Halles;['RER A', 'RER D', 'métro 1', 'métro 4', 'métro 7', 'métro 11', 'métro 14']
Saint-Michel Notre Dame;['RER C', 'métro 10']
Luxembourg Sénat;[]
Port Royal;[]
Denfert Rochereau - Colonel Rol-Tanguy;['métro 4 et 6', 'Orlybus']
Cité Universitaire;['tramway T3a']
Gentilly;[]
Laplace - Maison des Examens;[]
Arcueil Cachan;[]
Bagneux;[]
Bourg la Reine;[]
Sceaux;[]
Fontenay aux Roses;[]
Robinson;[]
